Station;010 Wedding;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;144 Silbersteinstraße;171 Mitte;174 Frankfurter Allee;190 Leipziger Straße;221 Karl-Marx-Straße
Messkomponente;Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10);Feinstaub (PM10)
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2023 01:00;77;23;106;48;28;390;381;271;493;162;302;115;227
01.01.2023 02:00;31;16;37;32;15;71;211;133;203;50;89;48;92
01.01.2023 03:00;19;15;22;18;12;38;39;76;116;22;43;25;26
01.01.2023 04:00;22;16;21;19;15;30;35;32;51;24;29;25;26
01.01.2023 05:00;18;16;18;19;13;31;28;23;36;22;30;23;28
01.01.2023 06:00;18;17;18;20;13;26;28;23;36;21;25;24;24
01.01.2023 07:00;20;16;16;19;11;21;31;21;33;18;29;20;19
01.01.2023 08:00;15;14;14;17;10;20;32;22;31;17;26;17;18
01.01.2023 09:00;14;13;13;15;10;24;25;19;26;16;30;17;17
01.01.2023 10:00;14;13;14;15;10;33;23;19;27;15;25;17;17
01.01.2023 11:00;14;13;13;15;10;35;21;19;26;14;23;16;17
01.01.2023 12:00;13;11;12;13;9;39;23;18;27;13;17;15;15
01.01.2023 13:00;12;11;12;12;10;37;20;18;27;13;17;15;14
01.01.2023 14:00;12;11;12;12;10;20;21;21;31;13;17;14;14
01.01.2023 15:00;12;10;15;12;11;22;24;24;34;14;19;16;18
01.01.2023 16:00;13;11;20;13;12;22;26;23;33;16;20;18;18
01.01.2023 17:00;13;12;23;12;12;31;31;36;46;19;25;25;21
01.01.2023 18:00;12;13;30;10;13;34;40;49;50;18;38;20;31
01.01.2023 19:00;15;11;46;11;14;50;54;65;89;17;64;24;44
01.01.2023 20:00;25;13;34;16;15;35;41;46;80;32;63;32;46
01.01.2023 21:00;19;12;23;21;12;25;27;36;62;24;39;24;26
01.01.2023 22:00;17;11;20;22;10;33;21;32;42;17;26;21;22
01.01.2023 23:00;17;12;19;17;13;24;19;25;29;18;25;21;24
02.01.2023 00:00;19;13;18;16;15;21;20;21;36;18;25;21;23
02.01.2023 01:00;19;14;18;17;16;22;23;22;34;19;25;22;24
02.01.2023 02:00;19;15;20;17;15;19;20;17;21;21;24;20;21
02.01.2023 03:00;17;16;15;17;14;17;18;16;18;20;23;20;19
02.01.2023 04:00;16;15;15;17;14;18;18;15;18;18;22;20;20
02.01.2023 05:00;16;14;14;15;13;18;18;17;18;17;20;21;18
02.01.2023 06:00;16;13;13;15;13;22;21;23;21;17;21;18;18
02.01.2023 07:00;16;12;13;14;11;27;32;;21;15;20;18;17
02.01.2023 08:00;15;12;13;13;10;24;29;;24;21;22;21;20
02.01.2023 09:00;15;12;14;14;10;21;36;;49;17;18;21;21
02.01.2023 10:00;16;12;15;14;10;23;27;61;78;16;20;23;23
02.01.2023 11:00;16;12;20;14;10;24;29;50;62;15;27;20;21
02.01.2023 12:00;16;13;17;15;10;24;29;42;52;16;23;20;21
02.01.2023 13:00;15;14;15;16;11;20;24;28;33;16;20;19;20
02.01.2023 14:00;16;14;16;15;11;17;27;28;33;19;20;19;22
02.01.2023 15:00;15;15;17;16;11;17;21;18;20;18;21;18;19
02.01.2023 16:00;17;16;21;17;13;22;37;30;35;18;22;21;29
02.01.2023 17:00;14;13;17;12;14;19;40;28;33;19;24;23;27
02.01.2023 18:00;8;6;9;6;9;10;23;14;16;8;15;15;15
02.01.2023 19:00;5;4;7;5;5;6;10;9;10;6;11;11;10
02.01.2023 20:00;5;4;8;4;4;5;9;9;8;5;11;10;12
02.01.2023 21:00;5;4;6;4;4;6;11;9;9;5;8;7;7
02.01.2023 22:00;4;4;5;4;4;5;7;8;9;5;10;7;8
02.01.2023 23:00;5;5;6;5;4;6;8;7;8;6;12;8;8
03.01.2023 00:00;5;5;6;6;5;7;10;8;8;6;8;7;8
03.01.2023 01:00;7;6;7;7;6;8;11;9;9;8;10;8;8
